"a","b","n","p","outlier","others"
2,2,50,10,0.59,0.05
2,2,50,500,0.59,0.04
2,2,200,200,0.68,0.05
2,2,500,10,0.72,0.04
3,3,50,10,0.98,0.02
3,3,50,500,0.95,0.02
3,3,200,200,1,0.03
3,3,500,10,1,0.03
5,5,50,10,1,0
5,5,50,500,1,0
5,5,200,200,1,0
5,5,500,10,1,0
