gbm133a,ModuleColor,K.WholeNetwork,K.Intra,K.Out,Gene.Symbol,LocusLink,Set55Coxpvalue,HazardRatio55,HRlowerCI55,HRupperCI55,HRSD55,Set65Coxpvalue,Set65HazardRatio,Set65HRlower95,Set65HRupper95,Set65HRsd,Set55_ORI_10219_10218,Set55_ORI_10735_10730,Set55_ORI_14605_14585,Set55_ORI_14607_14586,Set55_ORI_14609_14587,Set55_ORI_14617_14591,Set55_ORI_14623_14594,Set55_ORI_14629_14597,Set55_ORI_14631_14598,Set55_ORI_14633_14599,Set55_ORI_14635_14600,Set55_ORI_14639_14602,Set55_ORI_15426_15407,Set55_ORI_15428_15408,Set55_ORI_15430_15409,Set55_ORI_15432_15410,Set55_ORI_15434_15411,Set55_ORI_15438_15414,Set55_ORI_15440_15415,Set55_ORI_15442_15417,Set55_ORI_15444_15418,Set55_ORI_15446_15419,Set55_ORI_15448_15420,Set55_ORI_15450_15421,Set55_ORI_15452_15422,Set55_ORI_15454_15424,Set55_ORI_15456_15425,Set55_ORI_15479_15471,Set55_ORI_15662_15649,Set55_ORI_4368_4367,Set55_ORI_4378_4377,Set55_ORI_4388_4387,Set55_ORI_4770_4761,Set55_ORI_4772_4762,Set55_ORI_4774_4763,Set55_ORI_4776_4764,Set55_ORI_4778_4765,Set55_ORI_4780_4766,Set55_ORI_4782_4767,Set55_ORI_4784_4768,Set55_ORI_4786_4769,Set55_ORI_6922_6907,Set55_ORI_6924_6908,Set55_ORI_6926_6909,Set55_ORI_6928_6910,Set55_ORI_6930_6911,Set55_ORI_6932_6912,Set55_ORI_6934_6913,Set55_ORI_6936_6914,Set55_ORI_6938_6915,Set55_ORI_6940_6916,Set55_ORI_6944_6918,Set55_ORI_6946_6919,Set55_ORI_6948_6920,Set55_ORI_6950_6921,Set65_21484_21474,Set65_21486_21475,Set65_21488_21476,Set65_21490_21477,Set65_21492_21478,Set65_21494_21479,Set65_21496_21480,Set65_22566_22553,Set65_22567_22554,Set65_22568_22555,Set65_22569_22556,Set65_24016_24007,Set65_24017_24008,Set65_24018_24009,Set65_24019_24010,Set65_24022_24013,Set65_24024_24015,Set65_25733_25718,Set65_25734_25719,Set65_25735_25720,Set65_25736_25721,Set65_25737_25722,Set65_25738_25723,Set65_25739_25724,Set65_25741_25726,Set65_25742_25727,Set65_25743_25728,Set65_25744_25729,Set65_25746_25731,Set65_26327_26321,Set65_26328_26322,Set65_26329_26323,Set65_26330_26324,Set65_26331_26325,Set65_26332_26326,Set65_26340_26336,Set65_26341_26337,Set65_26342_26338,Set65_26343_26339,Set65_26490_26484,Set65_26491_26485,Set65_26493_26487,Set65_26495_26489,Set65_34086_34071,Set65_34088_34072,Set65_34092_34074,Set65_34098_34077,Set65_34100_34078,Set65_34102_34079,Set65_34106_34081,Set65_34108_34082,Set65_34110_34083,Set65_34705_34696,Set65_34711_34699,Set65_34715_34701,Set65_34717_34702,Set65_35449_35438,Set65_35455_35441,Set65_35457_35442,Set65_35459_35443,Set65_35461_35444,Set65_35463_35445,Set65_35465_35446,Set65_35467_35447,Set65_35469_35448
died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
SurvivalTimeDays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,588,302,236,237,569,168,1089,293,265,223,224,85,224,90,98,43,126,53,188,279,389,625,663,95,325,654,148,355,7,112,153,302,185,506,182,418,56,420,96,71,186,286,1098,412,356,1841,64,1682,1625,1616,683,976,780,870,144,10,359,313,79,308,37,619,561,360,622,472,667,362,295,621,691,380,153,2807,553,49,837,140,54,920,843,414,338,123,203,181,73,211,172,506,181,728,728,586,599,360,141,1215,263,622,763,596,437,219,703,376,358,927,334,465,222,322,494,95,118,365,209,408,192
Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,44,37,37,61,36,44,20,50,35,44,46,28,54,35,20,53,38,41,49,45,75,70,78,65,56,64,50,65,36,75,56,63,66,54,58,43,76,42,54,82,50,82,39,54,64,33,69,40,41,24,61,40,42,47,59,69,56,58,69,54,86,39,56,56,55,54,60,64,49,63,45,69,76,51,41,55,48,29,21,33,23,36,56,59,42,42,57,62,40,33,46,38,39,40,43,56,70,55,77,70,56,47,61,46,44,59,46,46,46,46,81,68,47,71,59,54,85,43,49
Male1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0
1053_at,grey,33.08376892,10.3474719,22.73629702,RFC2,5982,0.92,1.05,0.6,1.83,0.285,0.326,1.48,0.89,2.45,0.258,104.858,363.35,132.808,130.64,217.043,104.984,113.733,234.901,262.255,192.011,190.517,270.551,291.57,173.13,108.141,152.198,120.544,207.303,370.824,267.961,264.142,225.567,224.732,277.656,203.503,358.065,265.069,130.625,369.319,216.269,444.958,288.353,54.1096,233.283,106.975,206.371,90.4155,155.374,93.7647,66.1657,120.524,232.04,108.695,260.837,638.418,308.329,207.277,267.972,139.751,257.819,108.545,529.94,184.583,281.514,200.685,191.009,299.901,192.09,291.286,342.747,216.415,131.193,85.6264,213.583,313.164,156.091,171.548,91.2131,171.472,351.638,79.5986,153.354,122.119,62.7262,128.112,106.193,195.28,87.141,208.616,200.889,85.3267,61.1587,170.377,64.2428,177.74,187.391,267.966,250.004,129.025,192.69,128.064,180.321,191.752,122.942,288.66,161.804,332.838,263.155,317.494,187.433,62.4834,262.292,406.545,153.686,166.292,199.038,136.896,210.06,361.071,276.71,156.861,174.15,351.73,486.338,238.816,242.069,181.809,306.155,165.816,121.896
1294_at,grey,13.21797691,7.08067751,6.137299403,UBE1L,7318,0.719,1.27,0.73,2.22,0.284,0.0755,0.819,0.491,1.37,0.262,420.593,444.52,566.406,532.014,421.062,352.803,529.789,495.837,439.953,541.656,512.191,403.295,525.997,576.736,531.873,509.47,589.714,497.532,662.388,507.858,669.585,591.479,561.359,616.549,620.708,683.236,589.308,617.657,601.302,589.956,538.004,550.272,393.267,415.612,641.043,517.976,471.393,631.237,413.181,352.286,430.364,547.397,400.543,527.603,444.835,487.089,484.329,650.674,655.936,636.865,438.481,431.646,549.525,496.612,611.788,325.239,330.836,352.335,327.69,361.124,354.911,341.42,422.499,288.54,389.973,396.67,412.457,349.546,434.758,213.526,366.881,408.574,487.817,430.967,472.776,759.815,548.103,530.088,366.811,351.457,384.17,343.638,353.627,373.964,569.726,375.709,432.602,566.625,365.134,433.01,332.166,309.606,320.445,318.478,288.985,385.703,357.83,332.225,832.553,422.605,734.508,641.776,560.963,568.182,539.623,516.024,515.192,525.03,681.763,663.835,659.718,522.738,535.536,565.464,541.293,476.128,653.665,523.275,599.562,580.496
1598_g_at,blue,26.60231385,23.34748088,3.254832969,GAS6,2621,0.219,0.985,0.564,1.72,0.285,0.941,1.16,0.696,1.94,0.261,680.069,600.211,1236.55,1855.93,780.951,659.817,609.503,565.149,768.455,697.18,551.178,369.765,580.573,909.753,875.107,519.268,863.728,732.26,987.067,769.739,908.97,649.667,785.933,652.433,784.924,1302.94,701.025,1949.67,491.157,644.07,595.322,687.149,949.786,538.624,732.689,677.586,870.429,777.345,444.814,749.386,626.263,627.563,688.808,731.185,470.775,540.34,799.597,867.236,778.358,809.697,355.927,457.015,882.692,588.29,960.52,603.829,503.496,581.241,564.846,471.881,569.83,529.036,594.623,387.898,863.393,500.895,1336.72,688.69,726.886,173.797,634.358,594.651,579.956,960.57,516.671,875.331,406.937,518.283,450.437,382.657,387.627,340.645,539.143,673.192,875.271,452.361,603.875,448.89,831.806,377.443,358.555,368.167,420.104,423.561,426.652,655.928,788.123,774.181,810.641,557.771,634.524,1053.49,612.116,716.703,563.104,721.772,689.4,936.84,521.004,717.28,1630.45,609.344,894.592,514.409,790.116,749.246,888.33,931.579,1184.41,583.827
200003_s_at,grey,36.40307413,12.01884656,24.38422756,RPL28,6158,0.78,0.946,0.543,1.65,0.283,0.623,1.37,0.818,2.3,0.263,3880.39,4734.37,4194.87,4372.58,4808.94,3079.35,3314.6,2806.43,4000.92,3367.9,4810.94,3858.55,3492.8,4487.68,3513.43,3825.45,3385.58,4555.4,5270.7,4719.66,4378.88,3440.97,4466.01,3688.2,3269.07,3195.83,4838.95,4473.02,4431.78,4293.56,4149.24,5354.11,3022.37,4181.21,3173.78,4803.27,4242.9,3349.52,2886.06,2591.06,3454.39,4033.38,3096.43,4400.95,3640.52,4397.84,4793.61,3373.8,3977.04,4411.69,2723.51,5418.45,4550.96,3517.9,5104.49,5546.91,5289.33,4906.08,4933.89,4463.18,5973.85,4619.56,1949.28,4877.14,4942.22,4895.29,5223.84,3072.27,3492.18,4342.66,3940.2,6258.71,4430.06,2940.1,3741.26,4456.34,2970.65,3519.39,3843.98,3800.04,4659.19,3564.43,3527.5,2863.44,5144.79,3377.77,3561.17,5538.92,3918.29,5104.29,3816.16,5159.63,3972.12,3065.74,2735.65,4796.33,5832.91,4969.76,4047.24,5011.3,3919.67,5071.16,5238.19,5210.02,4828.83,4865.42,4213.68,5536.82,6473.8,4875.24,5558.77,3937.52,5993.46,4727.35,4661.99,4939.65,4987.59,5822.92,5159.81,4912.94
200011_s_at,turquoise,118.1519037,102.3876797,15.76422408,ARF3,377,0.929,0.98,0.56,1.72,0.286,0.374,0.851,0.511,1.42,0.261,1932.66,1329.01,1099.73,1307.92,1431.07,1664.8,1133.49,1277.8,1446.8,1753.56,922.62,923.209,1360.99,1885.65,1476.63,830.178,1724.25,1165.07,740.232,1111.94,1033.85,1924.36,998.811,762.418,1661.56,1350.13,1349.99,1146.8,1254.28,1713.72,1186.62,970.325,2141.23,1033.79,1686.05,1155.66,1575.92,2101.73,1580.31,2852.56,2178.42,1383.55,2513.22,1093.65,1344.01,1222.19,1364.64,1391.29,1750.14,1627.85,1218.77,1104.11,1541.66,1150.89,1183.94,1570.38,1252.51,1162.35,1365.03,1352.18,1331.25,1464.21,1846.64,998.522,991.193,1013.52,1270.25,3145.91,1232.21,686.792,2605.79,1681.64,1320.83,2445.91,1332.47,1100.93,1742.6,1945.74,922.355,866.736,927.751,1157.38,489.171,2524.17,1211.74,914.768,1394.93,797.306,2030.62,701.533,1170.02,1185.13,1447.98,1616.92,1212.45,1278.95,881.875,1386.47,1614.32,1814.97,1591.81,1264.9,1009.08,1411.13,1083.67,1747.66,1516.36,1579,1109.03,1011.85,1096.3,1758.36,1066.24,1268.46,1055.28,1372.24,1212.49,1416.09,1069.42,1160.78
200024_at,turquoise,17.96124171,10.98912314,6.972118573,RPS5,6193,0.517,0.984,0.565,1.71,0.283,0.551,1.2,0.725,2,0.259,2528.71,4080.02,2913.62,2920.34,3426.76,2714.19,2930.22,2233.63,3393.55,2621.66,4000.93,2761.42,2576.64,2999.64,2363.5,3020.04,2065.12,3235.89,3562.4,3736.49,2475.81,2602.11,2997.98,2487.33,2169.47,2421.57,3314.74,2703.5,3241.48,3277.38,3369.9,3701.68,2585.57,3658.57,2339.29,3796.83,3025.05,2540.25,3327.14,2060.19,2945.09,2974.76,2137.69,3507.37,3021.04,3549.86,3635.85,3024.63,2916.69,3530.51,2444.29,3778.06,3180.23,2836.31,4089.62,4606.65,3832.57,3227.24,3095.26,3521.6,4545.07,2944.27,1454.43,3035.18,3416.93,3837.76,2851.67,1647.01,1566.13,2875.55,2175.07,3906.57,3474.53,2065.53,3709.24,2298.61,2325.14,2875.57,3397.36,3462.73,3955.04,2714.61,2641.4,1966.94,4466.46,3154.39,2909.19,4092.29,2963.69,3385.78,3762.48,4382.74,3010.76,2196.48,1730.66,3287.4,4437.84,4141.7,3091.83,4383.52,3304.52,3237.5,3511.6,4091.32,3479.29,4269.35,3224.64,4183.08,4090.63,3536.3,2784.08,2533.1,4339.82,3473.86,3344.46,3442.69,3438.36,4422.52,3071.59,3123.51
200027_at,grey,27.09820151,6.631255248,20.46694626,NARS,4677,0.397,1.46,0.83,2.55,0.286,0.646,0.775,0.464,1.29,0.261,1563.55,1506.97,1621.68,1315.93,1912.49,1959.86,1317.57,1407.28,2182.58,1858.31,1842.16,1456.19,1228.25,1741.4,1668.17,1229.33,1718.39,1796.33,1106.4,1612.15,1493.55,1658.88,915.826,1197.8,1503.55,1476.54,1716.43,1428.78,1200.17,1986.03,1631.55,1318.3,2106.63,1511.83,1521.16,1496.71,2141.6,1673.35,2226.02,2660.9,1973.3,1577.08,2054.6,1393.51,1620,1606.91,1465.78,1614.1,1490.41,1879.41,1623.1,1365.45,1552.66,1564.85,1626.56,1045.18,1369.41,1445.73,1551.21,1346.84,805.795,1058.4,1285.35,1628.64,1576.92,1351.3,1176.66,1822.72,888.483,1274.11,1531.61,1335.31,1735.26,1838.54,2178.29,1979.5,2160.22,1429.38,1595.66,1423.24,2015.26,1531.55,1306.43,2588.9,2385.83,1688.73,2188.12,1447.06,2239.69,765.6,1155.61,1023.44,1671.63,1535.96,1999.83,1842.58,1388.12,1586.88,1552.15,1432.95,1317.33,1212.23,1669.15,1485.76,1375.35,1745.89,1262.1,1566.35,948.157,1370.33,1381.85,1412.85,1653.77,1257.76,1704.68,1914.09,1700.05,1491.49,1400.38,1217.02
200028_s_at,grey,8.632973022,5.785068995,2.847904027,STARD7,56910,0.271,0.63,0.36,1.1,0.286,0.296,0.695,0.413,1.17,0.265,2166.95,2273,2533.08,1861.77,2706.34,2429.72,1962.59,2457.34,2520.04,2415.19,2167.1,1594.55,2349.97,2510.95,2052.94,1741.73,2182.59,1861.11,1628.74,2131.86,2701.94,2896.13,1725.1,1737.43,2124.67,2061.41,2421.76,1787.43,2256.74,2091.11,2300.24,1615.13,2348.81,1517.37,1711.28,1853.96,2404.85,2262.57,2919.51,2878.46,2679.81,2683.02,2220.88,2502.29,3112.96,2254.09,2401.19,3330.59,2544.25,2390.43,2144.84,2078.04,2391.26,2142.37,2618.38,1463.74,2585.65,1871.34,2396.43,3776.42,1931.12,2340.77,1649.69,1820.94,2767.76,2070.81,2322.83,2233.28,1876.43,2531.88,2473.02,2518.25,3312.45,2386.47,2497.25,2947.03,2494.48,2645.03,2733.25,2626.04,2434.36,2700.14,2630.57,3502.08,3791.59,3359.97,2986.43,2540.23,2445.75,1844.01,2651.71,2088.84,2849.81,3938.02,2998.16,2192.99,2401.38,3209.53,2931.27,1936.34,2236.66,2172.68,2297.48,2606.4,2975.5,3006.1,1435.71,2435.07,3202.7,1951.83,2101.84,2175.44,2392.27,2910.53,2081.03,2239.95,1706.1,2493.56,1641.24,1868.53
200037_s_at,grey,19.82548693,10.9630709,8.862416026,CBX3,11335,0.946,1.07,0.611,1.86,0.284,0.607,1.22,0.723,2.05,0.266,899.836,1835.62,1330.03,1361.58,1861.01,1429.75,1610.48,1994.74,1786.94,1920.98,1853.35,1974.94,1984.84,1367.32,1162.4,1009.78,1349.41,2002.73,2419.05,2132.78,1671.64,2217.3,1762.56,1521.5,1328.74,1880.09,1931.28,1290.35,2105.49,1804.79,1778.08,1593.31,1553.93,1859.08,1172.12,1769.46,1888.71,1373.3,2276.91,1740.33,2192.4,1999.45,1259.13,1404.47,3069.01,2075.35,2123.94,2039.2,1466.24,2162.37,1772.1,1908.95,1541.71,1965.22,1682.23,2128.91,1454.47,1489.69,2435.68,2177.84,1219.01,1732.83,796.791,1611.8,1856.89,1826.95,1565.53,1318.83,1444.97,1707.76,1311.62,1521.2,2087.63,1133.74,2060.87,1472.79,2580.65,1594.3,2102.42,2529.2,2347.77,1734.02,2353.53,1704.35,2416.18,2989.88,2577.48,2373.51,1868.1,2045.48,1813.18,1597.44,1652.9,1795.83,2022.28,1743.35,2026.76,1897.41,2160.04,1894.52,1265.01,1842.97,2473.29,1793.25,3575.43,2225.77,989.156,2224.34,2610.09,2022.9,1488.6,1506.98,2065.76,2594.43,1855.54,2058.67,1494.53,2198.99,1351.43,1644.2
200040_at,brown,15.29188129,7.456465488,7.835415799,KHDRBS1,10657,0.483,0.877,0.502,1.53,0.284,0.803,1.06,0.64,1.76,0.258,1052.93,1515.83,1330.25,1413.14,1721.07,1320.64,1027.99,1217.04,1206.29,1268.2,1372.2,1574.61,1866.58,1397.24,1042.73,1664.97,1139.89,982.226,1415.2,1580.27,1317.2,1575.91,1298.26,1442.66,1133.34,1266.38,1372.76,1091.46,1490.32,1380.4,1583.79,1476.2,1131.99,1186.23,814.176,1393.32,1024.92,1218.97,1584,1370.08,1786.42,1582.5,1410,1591.14,2224.25,1570.02,1551.83,1425.5,1396.3,1770.68,1325.33,1560.51,1465.34,1887.93,1457.99,1086.32,2092.34,1140.62,1433.05,1624.99,1281.82,1560.45,825.259,1446.23,1608.46,1381.3,1301.29,1325.78,1367.55,1860.84,1385.74,1556.61,1718.76,875.644,1909.82,1559.19,1940.08,1184.58,1732.12,2081.05,1901.04,1507.77,2023.68,1729.61,2496.55,1710.98,1547.94,1905.42,1296.8,1524.59,1687.5,1449.83,1242.16,1551.99,1732.99,1302.04,1539.13,1802.83,1523.45,1392.32,1281.62,1268.65,2159.36,1714.61,1598.34,1720.85,953.025,1412.65,1714.16,1767.32,1472.74,1001.87,1469.39,1806.73,1440.69,1478.59,1496.48,1629.38,1573,1386.81
200041_s_at,grey,26.55472846,9.371230438,17.18349803,BAT1,7919,0.664,0.719,0.411,1.26,0.286,0.99,1.27,0.766,2.11,0.258,1352.8,2338.85,1931.06,1772.91,1723.69,1795.58,1639.1,1072.74,1498.92,1558.74,2106.83,1444.04,2775.36,2287.77,1607.91,3000.97,2027.5,2704.66,2312.98,2656.75,2269.7,2369.17,2002.12,1557.48,1986.27,2111.34,2666.66,1932.16,2854.39,1679.28,2779.76,1631.82,1322.68,1457.74,1156.68,2121.7,1693.73,1135.04,1952.49,948.81,1979.57,2156.46,1301.98,2522.49,2431.54,2699.63,2544.28,2804.08,2014.46,2150.18,2443.79,2226.78,2194.49,2617.56,2205.64,1265.34,2022.77,2085.35,2094.94,3115.65,1213.56,2291.15,1099.2,2130.34,3638.65,2500.88,2189.19,1656.27,1810.52,2314.8,1586.69,1559.45,1993.99,1895.22,1463.3,2602.2,2171.42,1958.64,3066.17,2560.29,2332.63,1937.22,2982.26,1106.53,2369.47,1218.42,1801.88,2600.79,1559.75,1711.88,2312.43,2301.15,1836.24,2444.29,1935.07,2522.88,2101.42,2220.83,2583.06,2604.34,1946.41,2061.29,3364.66,2263.43,2185.99,2128.58,1225.68,2764.22,3482.2,2677.88,2041.94,1741.13,2503.22,3351.75,1973.35,2573.37,1476.87,2995.84,2938.14,2181.2
200049_at,grey,19.47018148,8.756464609,10.71371688,MYST2,11143,0.247,0.552,0.31,0.982,0.294,0.51,0.728,0.435,1.22,0.263,673.255,795.312,784.012,528.819,571.978,518.459,870.303,913.844,595.393,976.635,840.182,1092.98,919.329,718.622,718.834,945.01,744.244,710.069,678.517,831.315,589.86,745.809,589.769,572.402,675.221,732.56,638.694,498.555,718.507,556.176,579.344,299.569,987.077,758.095,1099.84,865.387,603.459,1245.82,1027.3,930.413,1106.25,713.899,767.322,905.269,1185.21,681.13,916.491,722.849,834.63,858.717,1110.62,726.138,768.118,858.579,760.5,402.856,484.267,495.549,439.871,632.815,709.147,636.589,1018.45,475.439,695.357,742.829,579.597,891.606,621.456,682.325,731.939,663.135,554.916,628.074,668.188,502.32,535.859,704.054,481.088,640.881,425.232,499.434,626.415,468.285,562.394,658.273,507.677,750.621,627.445,355.137,871.05,634.847,1062.82,1168.13,756.512,769.497,811.904,777.656,772.901,2297.86,747.929,545.286,544.969,673.5,551.679,755.311,580.707,584.422,515.182,571.427,506.625,750.095,521.755,730.307,610.052,447.348,495.98,723.416,618.629,685.921
200052_s_at,brown,37.95197958,14.27837535,23.67360422,ILF2,3608,0.627,1.12,0.644,1.96,0.283,0.895,1.04,0.629,1.72,0.257,409.436,1103.68,622.281,615.307,622.772,627.582,717.807,501.636,624.251,976.046,965.557,1058.14,1130.27,650.089,471.592,1133.47,522.646,1398.73,942.918,960.66,656.571,707.588,697.916,686.9,551.494,623.964,850.587,582.631,1315.32,731.323,1300.37,819.508,419.486,699.889,484.538,798.457,582.182,433.991,832.101,300.318,747.566,896.544,542.474,987.384,1185.62,880.22,726.357,1544.24,689.157,941.958,995.79,949.695,737.023,1146.52,697.238,541.451,961.184,596.364,770.31,1023.64,762.878,709.209,355.022,1066.88,876.643,677.876,592.009,421.055,321.42,1027.65,489.471,550.856,706.016,364.263,659.709,780.161,705.116,538.407,1562.25,1205.3,1172.88,732.187,1286.84,401.786,942.635,1572.21,882.595,1132.79,724.927,519.556,833.269,655.26,899.705,800.106,874.398,763.351,878.668,844.62,1050.53,1043.96,387.785,625.757,1599.28,710.321,747.866,948.462,515.117,549.621,1131.56,1248.1,728.381,519.603,884.729,1089.99,586.712,827.371,635.407,838.309,551.48,607.875
200054_at,grey,15.13315117,6.622281666,8.510869508,ZNF259,8882,0.761,1.18,0.676,2.07,0.286,0.121,1.57,0.94,2.63,0.263,229.118,404.19,277.485,352.664,359.948,223.505,229.501,250.092,499.02,406.022,595.527,334.475,289.159,263.809,141.79,315.836,235.807,261.023,335.403,459.936,189.369,230.78,439.789,314.753,235.58,335.991,290.243,358.897,358.688,564.118,521.673,564.277,221.23,434.761,128.737,336.622,478.84,180.855,457.836,215.605,367.253,262.523,237.813,529.705,369.426,445.066,240.859,307.582,250.537,426.706,256.775,366.212,313.482,477.347,447.27,302.423,393.792,519.008,499.889,516.979,283.104,469.913,204.729,730.186,451.929,375.057,466.111,158.281,114.783,459.27,147.584,479.944,327.759,127.839,294.118,319.655,293.28,193.401,375.994,192.313,274.527,243.624,302.733,132.48,280.148,322.334,450.84,317.899,244.638,569.306,258.976,646.381,501.051,375.657,428.215,469.724,346.228,479.665,208.33,337.856,180.423,251.235,306.535,281.771,404.224,279.799,234.722,330.94,484.172,567.011,205.321,149.051,441.627,416.14,435.441,581.258,425.789,296.456,366.219,223.822
200057_s_at,brown,41.1586993,13.89346929,27.26523002,NONO,4841,0.418,0.941,0.54,1.64,0.284,0.366,0.737,0.436,1.25,0.268,1739.6,2655.61,2459.83,2209.68,2219.78,2254.31,2378.23,2196.87,2085.37,2779.26,2948.63,2855.66,3111.36,2547.42,1912.89,3227.66,1945.09,2833.53,2975.82,3025.88,2736.34,2610.85,2477.68,2358.1,2045.66,2236.03,2684.25,1918.25,3454.75,2633.88,3176.6,2522.24,2024.77,2134.33,1849.53,2229.39,2019.3,1937.4,2691.88,1819.16,2750.41,2759.18,1647.09,2585.52,3869.36,2840.78,2844.49,3089.67,2553.86,2828.82,3580.86,2546.36,2688.24,3262.92,2646.49,1855.52,2983.49,2343.43,2395.91,3577.29,2436.9,2658.41,1390.64,2416.06,2933.74,2639.39,2373.42,2070.44,2235.89,3191.13,2096.45,2393,2905.85,1909.69,2959.75,2947.09,2563.91,2703.86,3262.8,3074.74,2778.72,2938.62,3623.02,1796.88,3135.35,3623.69,2789.45,3805.62,2710.54,3082.32,2726.78,2274.54,3565.87,4047.76,3233.84,2477.6,2768.58,2647.43,3213.39,3290.79,2048.25,2583.99,3755.93,2790.58,2919.61,3342.9,1588.43,3040.39,3161.13,3032.08,2502.18,2062.2,2394.42,3204.41,2293.29,2356.71,2265.51,2992.19,2387.53,2687.19
200058_s_at,grey,20.94676182,8.216413687,12.73034813,U5-200KD,23020,0.876,1.08,0.618,1.89,0.285,0.988,0.777,0.466,1.29,0.26,751.824,1134.26,1278.73,1218.53,1458.4,1562.78,1439.02,1664.85,1636.38,1811.4,1884.45,1348.59,1834.54,1128.52,816.7,1254.97,845.527,1531.59,1341.11,1661.01,1483.81,1972.9,1297.46,1213.67,1099.62,1397.38,1725.4,1063.4,1589.07,1401.27,1892.91,1353.47,869.941,1081.95,738.261,1120.75,1378.5,1106.1,1529.02,970.396,1348.63,1505.03,914.052,1693.08,2499.58,2215.38,1278.98,1601.69,1254.73,1374.3,1668.58,1611.26,1143.77,1565.45,1319.37,1138.65,1184.17,1175.57,1423.25,2329.04,1525.09,1124.99,490.98,1350.95,1646.72,1478.72,1068.96,842.819,1491.3,1061.96,1000.41,1267.75,1674.19,830.092,1427.25,1677.52,1385.22,1630.09,2462.84,1489.28,1268.45,1165.3,2162.96,763.551,1995.93,1751.63,1378.43,1432.33,1383.97,1248.08,1585.48,1651.07,1477.08,1663.08,1294.62,1440.85,1390.13,1433.99,2265.71,1397.59,1068.6,1144.26,1506.1,1575.28,1703.09,1449.12,639.64,1652.68,1766.11,1409.6,1128.38,1088.22,1637.06,1814.4,1204.74,1872.5,1266.74,1685.17,1007.11,1256.72
200059_s_at,turquoise,43.17548497,27.32552043,15.84996454,RHOA,387,0.459,1.02,0.584,1.78,0.284,0.912,0.88,0.53,1.46,0.259,1996.58,3063.6,2933.64,3186.77,2943.88,2004.24,2358.69,2251.64,2979.37,3261.83,3046.51,2532.32,2826.66,3582,3083.52,3397.48,3393.58,2704.78,3633.72,2979.58,3135.25,3390.22,2885.37,3768.64,2841.01,3682.75,3143.07,3469.24,3493.04,2765.67,3336.26,2999.13,1677.1,3221.16,2471.57,3384.49,2434.38,2589.92,2674.35,1944.28,2105.19,3110.88,1965.02,3196.02,2288.36,2930.44,2341.19,3247.07,3301.15,3668.12,2338.49,3040.1,3303.51,2390.92,3368.5,2876.69,3269.4,2795.94,3693.69,3678.2,2727.41,3004.42,2470.7,3487.65,3612,3242.1,3189.86,2255.61,1512.73,3290.59,2472.64,3635.75,3592.56,3005.27,3989.47,3088.41,2907.94,2708.22,2953.28,3046.65,3626.66,2095.47,2423.31,2421.1,3821.44,1505.12,3504.22,3064.89,2948.81,3551.41,2424.68,2787.11,2756.42,2513.53,2382.13,2796.04,3758.55,3272.33,3564.72,3166.66,3168.51,3478.09,3292.06,3683.78,3623.62,4210.65,3326.83,3226.11,2503.37,2992.03,3002.88,2922.66,3115.56,4323.69,3974.91,3548.25,3440.7,3119.96,3363.94,3119.32
